canton_id;canton;municipality_id;municipality;registered_voters;cast_ballots;participation_rate;blank_votes;invalid_votes;valid_ballots;yes;no;yes_perc
11;Solothurn;2481;Witterswil;1'035;556;53.7;7;0;549;290;259;52.8
11;Solothurn;2491;Hauenstein-Ifenthal;232;141;60.8;1;0;140;78;62;55.7
11;Solothurn;2492;Kienberg;379;201;53;1;0;200;128;72;64
11;Solothurn;2493;Lostorf;2'955;1'702;57.6;16;1;1'685;930;755;55.2
11;Solothurn;2495;Niederg”sgen;2'331;1'213;52;8;2;1'203;725;478;60.3
11;Solothurn;2497;Oberg”sgen;1'515;762;50.3;10;0;752;435;317;57.8
11;Solothurn;2499;Stsslingen;937;524;55.9;1;0;523;302;221;57.7
11;Solothurn;2500;Trimbach;3'414;1'450;42.5;8;2;1'440;705;735;49
11;Solothurn;2501;Winznau;1'368;692;50.6;5;0;687;375;312;54.6
11;Solothurn;2502;Wisen (SO);347;185;53.3;2;0;183;80;103;43.7
11;Solothurn;2503;Erlinsbach (SO);2'426;1'180;48.6;12;2;1'166;627;539;53.8
11;Solothurn;2511;Aeschi (SO);1'023;549;53.7;4;0;545;283;262;51.9
11;Solothurn;2513;Biberist;5'810;2'939;50.6;13;2;2'924;1'393;1'531;47.6
11;Solothurn;2514;Bolken;454;221;48.7;3;0;218;135;83;61.9
11;Solothurn;2516;Deitingen;1'663;963;57.9;11;2;950;547;403;57.6
11;Solothurn;2517;Derendingen;3'829;1'776;46.4;11;1;1'764;947;817;53.7
11;Solothurn;2518;Etziken;722;323;44.7;3;1;319;194;125;60.8
11;Solothurn;2519;Gerlafingen;2'755;1'180;42.8;9;0;1'171;621;550;53
11;Solothurn;2520;Halten;664;356;53.6;0;1;355;218;137;61.4
11;Solothurn;2523;Horriwil;647;364;56.3;1;0;363;209;154;57.6
11;Solothurn;2524;Hniken;117;82;70.1;2;0;80;45;35;56.3
11;Solothurn;2525;Kriegstetten;960;485;50.5;1;0;484;289;195;59.7
11;Solothurn;2526;Lohn-Ammannsegg;2'217;1'325;59.8;7;0;1'318;676;642;51.3
11;Solothurn;2527;Luterbach;2'412;1'244;51.6;11;0;1'233;655;578;53.1
11;Solothurn;2528;Obergerlafingen;908;443;48.8;3;0;440;255;185;58
